,precision,recall,f1-score,support
Atelectasis,0.22069253233208178,0.5316582914572864,0.3119103773584906,995.0
Cardiomegaly,0.18762088974854932,0.3233333333333333,0.23745410036719705,300.0
Consolidation,0.12535477767265846,0.5862831858407079,0.20654715510522215,452.0
Edema,0.13149847094801223,0.3891402714932127,0.19657142857142856,221.0
Effusion,0.40097205346294046,0.5335489086499596,0.4578563995837669,1237.0
Emphysema,0.1927710843373494,0.3418803418803419,0.2465331278890601,234.0
Fibrosis,0.0702576112412178,0.18072289156626506,0.10118043844856661,166.0
Hernia,0.1388888888888889,0.14285714285714285,0.14084507042253522,35.0
Infiltration,0.3049645390070922,0.5102481121898598,0.3817594834543987,1854.0
Mass,0.11947547353084022,0.44972577696526506,0.18879508825786645,547.0
Nodule,0.13375130616509928,0.21843003412969283,0.1659105638366818,586.0
Pleural_Thickening,0.1018957345971564,0.25146198830409355,0.14502529510961215,342.0
Pneumonia,0.03792415169660679,0.2695035460992908,0.06649168853893263,141.0
Pneumothorax,0.31932773109243695,0.39014373716632444,0.3512014787430684,487.0
micro avg,0.20196838651953475,0.4457022508885086,0.27797389376898446,7597.0
macro avg,0.17752823176578073,0.3656383972809126,0.2284344068347734,7597.0
weighted avg,0.24010470620574187,0.4457022508885086,0.3030745016495023,7597.0
samples avg,0.10607015923313615,0.19382275755332748,0.12351955052850011,7597.0
